"ISSUE_DATE","LATITUDE","LONGITUDE","PropType"
"2014-08-04T00:00:00.000Z",38.863403,-76.975887,"Single Family"
"2014-08-04T00:00:00.000Z",38.863343,-76.975739,"Single Family"
"2013-10-21T00:00:00.000Z",38.913492,-77.090298,"Single Family"
"2014-08-04T00:00:00.000Z",38.863269,-76.975595,"Single Family"
"2014-08-04T00:00:00.000Z",38.863188,-76.975427,"Single Family"
"2012-10-26T00:00:00.000Z",38.912922,-76.985672,"Single Family"
"2012-10-26T00:00:00.000Z",38.912965,-76.985698,"Single Family"
"2012-10-26T00:00:00.000Z",38.91302,-76.985732,"Single Family"
"2012-10-26T00:00:00.000Z",38.913075,-76.985761,"Single Family"
"2012-10-26T00:00:00.000Z",38.913138,-76.985796,"Single Family"
"2012-10-26T00:00:00.000Z",38.913105,-76.986147,"Single Family"
"2012-10-26T00:00:00.000Z",38.913152,-76.98617,"Single Family"
"2012-10-26T00:00:00.000Z",38.913199,-76.98619,"Single Family"
"2015-12-10T00:00:00.000Z",38.914908,-77.085243,"Single Family"
"2014-01-22T00:00:00.000Z",38.915525,-77.085185,"Single Family"
"2013-11-13T00:00:00.000Z",38.915677,-77.0854,"Single Family"
"2015-05-21T00:00:00.000Z",38.915915,-77.06957,"Single Family"
"2012-12-06T00:00:00.000Z",38.915219,-77.085597,"Single Family"
"2014-02-28T00:00:00.000Z",38.916271,-77.085253,"Single Family"
"2012-11-20T00:00:00.000Z",38.915907,-77.085138,"Single Family"
"2013-06-25T00:00:00.000Z",38.916386,-77.084716,"Single Family"
"2013-05-06T00:00:00.000Z",38.916092,-77.084596,"Single Family"
"2013-08-07T00:00:00.000Z",38.915805,-77.084361,"Single Family"
"2012-11-20T00:00:00.000Z",38.915556,-77.084114,"Single Family"
"2013-04-01T00:00:00.000Z",38.915634,-77.084734,"Single Family"
"2013-01-29T00:00:00.000Z",38.915382,-77.084377,"Single Family"
"2013-11-06T00:00:00.000Z",38.915318,-77.084605,"Single Family"
"2014-02-11T00:00:00.000Z",38.964771,-77.005167,"Single Family"
"2014-08-01T00:00:00.000Z",38.917197,-77.09398,"Single Family"
"2014-11-07T00:00:00.000Z",38.924749,-76.97578,"Single Family"
"2014-06-19T00:00:00.000Z",38.917343,-77.093994,"Single Family"
"2013-06-21T00:00:00.000Z",38.917344,-77.026243,"Single Family"
"2014-06-19T00:00:00.000Z",38.917506,-77.094007,"Single Family"
"2013-04-12T00:00:00.000Z",38.941232,-77.045383,"Single Family"
"2015-07-29T00:00:00.000Z",38.924296,-76.975181,"Single Family"
"2013-09-09T00:00:00.000Z",38.963646,-77.005045,"Single Family"
"2014-02-11T00:00:00.000Z",38.964794,-77.005002,"Single Family"
"2013-09-09T00:00:00.000Z",38.963642,-77.004982,"Single Family"
"2015-11-03T00:00:00.000Z",38.92471,-76.974405,"Single Family"
