"","Address","Zip","List.Price","Close.Price","BRs","Bas","Half.BA","CloseDate","Date","year","month","MY","StrAddress"
"27642","912 MADISON ST NW",20011,499990,499900,"4","3","0","12/11/12",2012-12-11,2012,12,"2012 12","912 MADISON ST NW"
"27643","912 SHEPHERD ST NW #101",20011,334000,335000,"1","1","0","2/10/14",2014-02-10,2014,2,"2014 2","912 SHEPHERD ST NW"
"27644","912 SHEPHERD ST NW #201",20011,310000,305000,"1","1","0","1/26/15",2015-01-26,2015,1,"2015 1","912 SHEPHERD ST NW"
"27645","912 SHEPHERD ST NW #202",20011,320000,320000,"2","1","0","1/16/15",2015-01-16,2015,1,"2015 1","912 SHEPHERD ST NW"
"27646","912 SHEPHERD ST NW #303",20011,299900,299900,"1","1","0","1/29/14",2014-01-29,2014,1,"2014 1","912 SHEPHERD ST NW"
"27647","912 SHEPHERD ST NW #304",20011,329900,325000,"1","1","0","7/31/13",2013-07-31,2013,7,"2013 7","912 SHEPHERD ST NW"
"27648","913 12TH ST NE",20002,850000,775000,"7","3","0","7/29/14",2014-07-29,2014,7,"2014 7","913 12TH ST NE"
"27649","913 14TH  ST SE ST E",20003,550000,480000,"3","1","1","5/16/14",2014-05-16,2014,5,"2014 5","913 14TH  ST SE ST E"
"27650","913 14TH ST SE #2",20003,599800,620000,"3","3","0","9/21/15",2015-09-21,2015,9,"2015 9","913 14TH ST SE"
"27651","913 5TH ST SE",20003,519000,510000,"2","2","1","1/31/14",2014-01-31,2014,1,"2014 1","913 5TH ST SE"
"27652","913 6TH ST NE",20002,575000,575000,"4","3","0","10/19/12",2012-10-19,2012,10,"2012 10","913 6TH ST NE"
"27653","913 ASPEN ST NW",20012,650000,623000,"4","3","0","5/6/11",2011-05-06,2011,5,"2011 5","913 ASPEN ST NW"
"27654","913 ASPEN ST NW",20012,674900,691000,"4","3","0","10/10/14",2014-10-10,2014,10,"2014 10","913 ASPEN ST NW"
"27655","913 C ST SE",20003,639000,677500,"2","2","1","5/12/11",2011-05-12,2011,5,"2011 5","913 C ST SE"
"27656","913 FARRAGUT ST NW",20011,479900,479900,"3","3","0","12/21/12",2012-12-21,2012,12,"2012 12","913 FARRAGUT ST NW"
"27657","913 FARRAGUT ST NW",20011,250000,250000,"3","1","1","2/23/12",2012-02-23,2012,2,"2012 2","913 FARRAGUT ST NW"
"27658","913 HAMLIN ST NE",20017,269000,230000,"4","2","1","1/20/12",2012-01-20,2012,1,"2012 1","913 HAMLIN ST NE"
"27659","913 HAMLIN ST NE",20017,398500,398500,"4","3","0","3/9/12",2012-03-09,2012,3,"2012 3","913 HAMLIN ST NE"
"27660","913 MASSACHUSETTS AVE NE",20002,719000,736000,"3","2","0","8/31/12",2012-08-31,2012,8,"2012 8","913 MASSACHUSETTS AVE NE"
"27661","913 QUINCY ST NE #1",20017,349000,339000,"2","2","0","8/31/15",2015-08-31,2015,8,"2015 8","913 QUINCY ST NE"
"27662","913 QUINCY ST NE #2",20017,349000,349000,"2","2","0","8/28/15",2015-08-28,2015,8,"2015 8","913 QUINCY ST NE"
"27663","913 QUINCY ST NE #3",20017,389000,392000,"2","2","0","8/28/15",2015-08-28,2015,8,"2015 8","913 QUINCY ST NE"
"27664","913 QUINCY ST NE #4",20017,389000,369000,"2","2","0","8/28/15",2015-08-28,2015,8,"2015 8","913 QUINCY ST NE"
"27665","913 S ST NW",20001,987500,1055000,"5","4","1","5/31/11",2011-05-31,2011,5,"2011 5","913 S ST NW"
"27666","914 3RD ST NE",20002,589000,582500,"2","2","1","10/25/13",2013-10-25,2013,10,"2013 10","914 3RD ST NE"
"27667","914 C ST NE",20002,938000,965000,"4","3","1","4/4/13",2013-04-04,2013,4,"2013 4","914 C ST NE"
"27668","914 C ST NE",20002,425000,502000,"4","1","2","11/23/11",2011-11-23,2011,11,"2011 11","914 C ST NE"
"27669","914 IRVING ST NE",20017,725000,737000,"4","3","1","6/27/14",2014-06-27,2014,6,"2014 6","914 IRVING ST NE"
"27670","914 SHERIDAN ST NW",20011,345000,290000,"8","4","0","7/18/14",2014-07-18,2014,7,"2014 7","914 SHERIDAN ST NW"
"27671","914 SHERIDAN ST NW",20011,399900,393000,"7","4","0","11/24/14",2014-11-24,2014,11,"2014 11","914 SHERIDAN ST NW"
"27672","915 12TH ST SE",20003,545000,545000,"2","1","1","8/15/13",2013-08-15,2013,8,"2013 8","915 12TH ST SE"
"27673","915 12TH ST SE",20003,330000,337000,"2","1","0","2/8/13",2013-02-08,2013,2,"2013 2","915 12TH ST SE"
"27674","915 14TH ST SE",20003,659000,659000,"3","3","1","8/31/12",2012-08-31,2012,8,"2012 8","915 14TH ST SE"
