ID,Address,Match,MatchDetail,AddressMatch,Long,Lat,LR
56,"1234 C ST NE, Washington, DC, 20002",Match,Exact,"1234 C St NE, WASHINGTON, DC, 20002","-76.98912,38.89359",76230309,L
57,"1237 16TH ST NE, Washington, DC, 20002",Match,Exact,"1237 16th St NE, WASHINGTON, DC, 20002","-76.98033,38.906418",76230212,R
58,"1242 NEAL ST NE, Washington, DC, 20002",Match,Exact,"1242 Neal St NE, WASHINGTON, DC, 20002","-76.9877,38.904057",76230133,L
59,"1242 POTOMAC ST NW, Washington, DC, 20007",Match,Exact,"1242 Potomac St NW, WASHINGTON, DC, 20007","-77.06524,38.90622",76224900,L
60,"1242 POTOMAC ST NW, Washington, DC, 20007",Match,Exact,"1242 Potomac St NW, WASHINGTON, DC, 20007","-77.06524,38.90622",76224900,L
61,"1243 LINDEN PL NE, Washington, DC, 20002",Match,Exact,"1243 Linden Pl NE, WASHINGTON, DC, 20002","-76.989395,38.899536",76230165,R
62,"1247 FARRAGUT PL NE, Washington, DC, 20017",Match,Exact,"1247 Farragut Pl NE, WASHINGTON, DC, 20017","-76.9887,38.95161",76228244,R
63,"125 36TH ST NE, Washington, DC, 20019",Match,Exact,"125 36th St NE, WASHINGTON, DC, 20019","-76.95328,38.891197",76233108,R
64,"1252 PENN ST NE, Washington, DC, 20002",Match,Exact,"1252 Penn St NE, WASHINGTON, DC, 20002","-76.98619,38.90594",76230110,L
65,"126 53RD ST SE, Washington, DC, 20019",Match,Exact,"126 53rd St SE, WASHINGTON, DC, 20019","-76.925705,38.88665",76234080,L
66,"1265 OWEN PL NE, Washington, DC, 20002",Match,Exact,"1265 Owen Pl NE, WASHINGTON, DC, 20002","-76.986145,38.905247",76230112,R
67,"127 18TH ST SE, Washington, DC, 20003",Match,Exact,"127 18th St SE, WASHINGTON, DC, 20003","-76.97901,38.88836",76230529,R
68,"1278 DELAFIELD PL NE, Washington, DC, 20017",Match,Exact,"1278 Delafield Pl NE, WASHINGTON, DC, 20017","-76.98748,38.949467",76228286,L
69,"1279 PENN ST NE, Washington, DC, 20002",Match,Exact,"1279 Penn St NE, WASHINGTON, DC, 20002","-76.98552,38.90581",76230110,R
70,"1288 NEAL ST NE, Washington, DC, 20002",Match,Exact,"1288 Neal St NE, WASHINGTON, DC, 20002","-76.98653,38.903553",76230133,L
71,"13 Q ST NE, Washington, DC, 20002",Match,Exact,"13 Q St NE, WASHINGTON, DC, 20002","-77.00865,38.9111",76226581,R
72,"1301 TRINIDAD AVE NE, Washington, DC, 20002",Match,Exact,"1301 Trinidad Ave NE, WASHINGTON, DC, 20002","-76.98609,38.90341",76230146,R
73,"1303 ALLISON ST NW, Washington, DC, 20011",Match,Exact,"1303 Allison St NW, WASHINGTON, DC, 20011","-77.029915,38.945076",76223459,R
74,"1304 SHEPHERD ST NW, Washington, DC, 20011",Match,Exact,"1304 Shepherd St NW, WASHINGTON, DC, 20011","-77.02997,38.939728",76222491,L
75,"1304 TRINIDAD AVE NE, Washington, DC, 20002",Match,Exact,"1304 Trinidad Ave NE, WASHINGTON, DC, 20002","-76.9861,38.903458",76230146,L
76,"1307 TAYLOR ST NW, Washington, DC, 20011",Match,Exact,"1307 Taylor St NW, WASHINGTON, DC, 20011","-77.03002,38.94082",76222489,R
77,"1309 NORTH CAROLINA AVE NE, Washington, DC, 20002",Match,Exact,"1309 North Carolina Ave NE, WASHINGTON, DC, 20002","-76.988075,38.89067",76237038,R
78,"131 JEFFERSON ST NW, Washington, DC, 20011",Match,Exact,"131 Jefferson St NW, WASHINGTON, DC, 20011","-77.01227,38.95562",76223783,R
79,"1310 MONTELLO AVE NE, Washington, DC, 20002",Match,Exact,"1310 Montello Ave NE, WASHINGTON, DC, 20002","-76.988846,38.904697",76230130,L
80,"1311 HAMLIN ST NE, Washington, DC, 20017",Match,Exact,"1311 Hamlin St NE, WASHINGTON, DC, 20017","-76.98795,38.927723",76228774,R
81,"1312 BUCHANAN ST NW, Washington, DC, 20011",Match,Exact,"1312 Buchanan St NW, WASHINGTON, DC, 20011","-77.03032,38.94611",76222465,L
82,"1312 STAPLES ST NE, Washington, DC, 20002",Match,Exact,"1312 Staples St NE, WASHINGTON, DC, 20002","-76.98458,38.902893",76230224,L
83,"1312 UNDERWOOD ST NW, Washington, DC, 20012",Match,Exact,"1312 Underwood St NW, WASHINGTON, DC, 20012","-77.03029,38.968967",76221649,L
84,"1313 D ST NE, Washington, DC, 20002",Match,Exact,"1313 D St NE, WASHINGTON, DC, 20002","-76.987755,38.89477",76230342,R
85,"1314 STAPLES ST NE, Washington, DC, 20002",Match,Exact,"1314 Staples St NE, WASHINGTON, DC, 20002","-76.98457,38.902912",76230224,L
86,"1315 DELAFIELD PL NW, Washington, DC, 20011",Match,Exact,"1315 Delafield Pl NW, WASHINGTON, DC, 20011","-77.03023,38.949017",76238316,R
87,"1317 SPRING RD NW, Washington, DC, 20010",No_Match,,,-77.0327206,38.936894,
88,"1322 TALBERT TER SE, Washington, DC, 20020",Match,Exact,"1322 Talbert Ter SE, WASHINGTON, DC, 20020","-76.99095,38.861176",76231094,L
89,"1322 TALBERT TER SE, Washington, DC, 20020",Match,Exact,"1322 Talbert Ter SE, WASHINGTON, DC, 20020","-76.99095,38.861176",76231094,L
90,"1326 CORBIN PL NE, Washington, DC, 20002",Match,Exact,"1326 Corbin Pl NE, WASHINGTON, DC, 20002","-76.987816,38.8942",76230347,L
91,"1326 TRINIDAD AVE NE, Washington, DC, 20002",Match,Exact,"1326 Trinidad Ave NE, WASHINGTON, DC, 20002","-76.98597,38.903645",76230146,L
92,"1328 E ST NE, Washington, DC, 20002",Match,Exact,"1328 E St NE, WASHINGTON, DC, 20002","-76.98745,38.896133",76230332,L
93,"133 U ST NE, Washington, DC, 20002",Match,Exact,"133 U St NE, WASHINGTON, DC, 20002","-77.005165,38.91698",76224709,R
94,"1331 SPRING RD NW, Washington, DC, 20010",Match,Exact,"1331 Spring Rd NW, WASHINGTON, DC, 20010","-77.03113,38.93668",76222951,R
95,"1333 R ST NW, Washington, DC, 20009",Match,Exact,"1333 R St NW, WASHINGTON, DC, 20009","-77.030426,38.912624",76223215,R
96,"1336 A ST SE, Washington, DC, 20003",Match,Exact,"1336 A St SE, WASHINGTON, DC, 20003","-76.98664,38.888687",76230402,L
97,"1340 K ST SE, Washington, DC, 20003",Match,Exact,"1340 K St SE, WASHINGTON, DC, 20003","-76.987144,38.878414",76230926,L
98,"1340 W ST NE, Washington, DC, 20018",Match,Exact,"1340 W St NE, WASHINGTON, DC, 20018","-76.9852,38.919186",76228983,L
99,"1340 WALLACH PL NW, Washington, DC, 20009",Match,Exact,"1340 Wallach Pl NW, WASHINGTON, DC, 20009","-77.030594,38.91627",76223205,L
100,"1341 PARKWOOD PL NW, Washington, DC, 20010",Match,Exact,"1341 Parkwood Pl NW, WASHINGTON, DC, 20010","-77.03165,38.93531",76222956,R
101,"1344 LEVIS ST NE, Washington, DC, 20002",Match,Exact,"1344 Levis St NE, WASHINGTON, DC, 20002","-76.98354,38.9045",76230219,L
102,"1347 MONTAGUE ST NW, Washington, DC, 20011",Match,Exact,"1347 Montague St NW, WASHINGTON, DC, 20011","-77.0325,38.9593",76222311,R
103,"1348 MADISON ST NW, Washington, DC, 20011",Match,Exact,"1348 Madison St NW, WASHINGTON, DC, 20011","-77.03214,38.95834",76222302,L
104,"1350 LEVIS ST NE, Washington, DC, 20002",Match,Exact,"1350 Levis St NE, WASHINGTON, DC, 20002","-76.98346,38.90446",76230227,L
105,"1353 DOWNING ST NE, Washington, DC, 20018",Match,Exact,"1353 Downing St NE, WASHINGTON, DC, 20018","-76.98543,38.92102",76228937,R
106,"1353 MARYLAND AVE NE, Washington, DC, 20002",Match,Exact,"1353 Maryland Ave NE, WASHINGTON, DC, 20002","-76.986534,38.898846",76240338,R
107,"1356 UNDERWOOD ST NW, Washington, DC, 20012",Match,Exact,"1356 Underwood St NW, WASHINGTON, DC, 20012","-77.03179,38.968967",76221649,L
108,"1360 C ST NE, Washington, DC, 20002",Match,Exact,"1360 C St NE, WASHINGTON, DC, 20002","-76.98606,38.89359",76230351,L
109,"1368 FRANKLIN ST NE, Washington, DC, 20017",Match,Exact,"1368 Franklin St NE, WASHINGTON, DC, 20017","-76.98656,38.925674",76228779,L
110,"1375 EMERALD ST NE, Washington, DC, 20002",Match,Exact,"1375 Emerald St NE, WASHINGTON, DC, 20002","-76.98627,38.89671",76230328,R
111,"1387 SHERIDAN ST NW, Washington, DC, 20011",Match,Exact,"1387 Sheridan St NW, WASHINGTON, DC, 20011","-77.03282,38.96615",76221643,R
112,"14 33RD ST NE, Washington, DC, 20019",Match,Exact,"14 33rd St NE, WASHINGTON, DC, 20019","-76.96025,38.89028",76231498,L
113,"14 O ST NW, Washington, DC, 20001",Match,Exact,"14 O St NW, WASHINGTON, DC, 20001","-77.00956,38.908554",76244082,L
114,"1403 TRINIDAD AVE NE, Washington, DC, 20002",Match,Exact,"1403 Trinidad Ave NE, WASHINGTON, DC, 20002","-76.98543,38.90437",76230148,R
115,"1405 PERRY PL NW, Washington, DC, 20010",Match,Exact,"1405 Perry Pl NW, WASHINGTON, DC, 20010","-77.033035,38.93636",76222938,R
