ID,Address,Match,MatchDetail,AddMatch,LongLat,N,LR
433,"1213 WALTER ST SE, Washington, DC, 20003",Match,Exact,"1213 Walter St SE, WASHINGTON, DC, 20003","-76.98994,38.886795",76230372,R
3377,"2902 CARLTON AVE NE, Washington, DC, 20018",Match,Exact,"2902 Carlton Ave NE, WASHINGTON, DC, 20018","-76.96862,38.928722",76229294,L
2245,"1817 VERNON ST NW, Washington, DC, 20009",Match,Exact,"1817 Vernon St NW, WASHINGTON, DC, 20009","-77.04209,38.917",76222783,R
3107,"250 56TH ST NE, Washington, DC, 20019",Match,Non_Exact,"250 56th Pl NE, WASHINGTON, DC, 20019","-76.920685,38.891903",76234118,L
6397,"5229 CHEVY CHASE PKWY NW, Washington, DC, 20015",Match,Exact,"5229 Chevy Chase Pkwy NW, WASHINGTON, DC, 20015","-77.070244,38.958237",76220353,R
126,"104 QUINCY PL NE, Washington, DC, 20002",Match,Exact,"104 Quincy Pl NE, WASHINGTON, DC, 20002","-77.00638,38.911873",76226605,L
831,"1320 10TH ST NW, Washington, DC, 20001",Match,Exact,"1320 10th St NW, WASHINGTON, DC, 20001","-77.026,38.907795",624363192,L
5926,"4916 ROCKWOOD PKWY NW, Washington, DC, 20016",Match,Exact,"4916 Rockwood Pkwy NW, WASHINGTON, DC, 20016","-77.09943,38.93506",76219941,L
2263,"1820 POTOMAC AVE SE, Washington, DC, 20003",Match,Exact,"1820 Potomac Ave SE, WASHINGTON, DC, 20003","-76.9786,38.883152",76231604,L
838,"1320 NORTH CAROLINA AVE NE, Washington, DC, 20002",Match,Exact,"1320 North Carolina Ave NE, WASHINGTON, DC, 20002","-76.98757,38.890903",76237038,L
2891,"229 12TH ST NE, Washington, DC, 20002",Match,Exact,"229 12th St NE, WASHINGTON, DC, 20002","-76.99023,38.89276",76230357,R
7445,"710 5TH ST SE, Washington, DC, 20003",Match,Exact,"710 5th St SE, WASHINGTON, DC, 20003","-76.9995,38.88091",76230603,L
3391,"2910 W ST SE, Washington, DC, 20020",Match,Exact,"2910 W St SE, WASHINGTON, DC, 20020","-76.967026,38.863285",76231872,L
7436,"708 LONGFELLOW ST NW, Washington, DC, 20011",Match,Exact,"708 Longfellow St NW, WASHINGTON, DC, 20011","-77.022575,38.957428",76223344,L
2884,"227 FARRAGUT ST NW, Washington, DC, 20011",Match,Exact,"227 Farragut St NW, WASHINGTON, DC, 20011","-77.01399,38.951202",76223799,R
440,"1215 18TH ST NE, Washington, DC, 20002",Match,Exact,"1215 18th St NE, WASHINGTON, DC, 20002","-76.97803,38.905884",76231230,R
7245,"641 L ST NE, Washington, DC, 20002",Match,Exact,"641 L St NE, WASHINGTON, DC, 20002","-76.99749,38.903713",76229759,R
