ID,Address,Match,Match Detail,AddMatch,LongLat,N,LR
578,"124 O ST SW, Washington, DC, 20024",Match,Exact,"124 O St SW, WASHINGTON, DC, 20024","-77.0125,38.872948",76227257,L
586,"1242 FARRAGUT PL NE, Washington, DC, 20017",Match,Exact,"1242 Farragut Pl NE, WASHINGTON, DC, 20017","-76.98876,38.95164",76228244,L
598,"1244 D ST NE, Washington, DC, 20002",Match,Exact,"1244 D St NE, WASHINGTON, DC, 20002","-76.989365,38.8948",76230304,L
605,"1246 C ST NE, Washington, DC, 20002",Match,Exact,"1246 C St NE, WASHINGTON, DC, 20002","-76.988976,38.89359",76230309,L
614,"1248 10TH ST NW, Washington, DC, 20001",Match,Exact,"1248 10th St NW, WASHINGTON, DC, 20001","-77.026,38.9065",624562346,L
623,"125 S ST NW, Washington, DC, 20001",Match,Exact,"125 S St NW, WASHINGTON, DC, 20001","-77.0127,38.9141",76224653,R
631,"1254 FARRAGUT PL NE, Washington, DC, 20017",Match,Exact,"1254 Farragut Pl NE, WASHINGTON, DC, 20017","-76.98857,38.951637",76228244,L
638,"1258 FLORIDA AVE NE, Washington, DC, 20002",Match,Exact,"1258 Florida Ave NE, WASHINGTON, DC, 20002","-76.989,38.90226",76230137,L
647,"126 W ST NW, Washington, DC, 20001",Match,Exact,"126 W St NW, WASHINGTON, DC, 20001","-77.01308,38.919163",76224580,L
654,"1264 PENN ST NE, Washington, DC, 20002",Match,Exact,"1264 Penn St NE, WASHINGTON, DC, 20002","-76.98589,38.905838",76230110,L
666,"127 WILMINGTON PL SE, Washington, DC, 20032",Match,Exact,"127 Wilmington Pl SE, WASHINGTON, DC, 20032","-77.00432,38.836136",76244036,L
676,"128 BRYANT ST NW, Washington, DC, 20001",Match,Exact,"128 Bryant St NW, WASHINGTON, DC, 20001","-77.01299,38.921146",76224582,L
685,"1292 MORSE ST NE, Washington, DC, 20002",Match,Exact,"1292 Morse St NE, WASHINGTON, DC, 20002","-76.98707,38.902588",76230135,L
694,"130 R ST NE, Washington, DC, 20002",Match,Exact,"130 R St NE, WASHINGTON, DC, 20002","-77.005424,38.912613",76228622,L
701,"1300 V ST NW, Washington, DC, 20009",Match,Exact,"1300 V St NW, WASHINGTON, DC, 20009","-77.02974,38.918102",76223201,L
708,"1301 QUINCY ST NW, Washington, DC, 20011",Match,Exact,"1301 Quincy St NW, WASHINGTON, DC, 20011","-77.029854,38.93762",76222949,R
718,"1304 EMERSON ST NW, Washington, DC, 20011",Match,Exact,"1304 Emerson St NW, WASHINGTON, DC, 20011","-77.03001,38.949726",76222427,L
727,"1304 SHERIDAN ST NW, Washington, DC, 20011",Match,Exact,"1304 Sheridan St NW, WASHINGTON, DC, 20011","-77.030014,38.96612",76221643,L
735,"1306 CORBIN PL NE, Washington, DC, 20002",Match,Exact,"1306 Corbin Pl NE, WASHINGTON, DC, 20002","-76.98813,38.894203",76230347,L
744,"1308 SHEPHERD ST NW, Washington, DC, 20011",Match,Exact,"1308 Shepherd St NW, WASHINGTON, DC, 20011","-77.030075,38.939728",76222491,L
753,"131 C ST SE, Washington, DC, 20003",Match,Exact,"131 C St SE, WASHINGTON, DC, 20003","-77.00513,38.886024",76227147,R
762,"1310 I ST NE, Washington, DC, 20002",Match,Exact,"1310 I St NE, WASHINGTON, DC, 20002","-76.9881,38.901333",76230157,L
771,"1311 DELAFIELD PL NW, Washington, DC, 20011",Match,Exact,"1311 Delafield Pl NW, WASHINGTON, DC, 20011","-77.03013,38.94902",76238316,R
782,"1312 EMERALD ST NE, Washington, DC, 20002",Match,Exact,"1312 Emerald St NE, WASHINGTON, DC, 20002","-76.98786,38.896736",76230328,L
794,"1314 GIRARD ST NW, Washington, DC, 20009",Match,Exact,"1314 Girard St NW, WASHINGTON, DC, 20009","-77.03018,38.92573",76223025,L
803,"1315 EUCLID ST NW, Washington, DC, 20009",Match,Exact,"1315 Euclid St NW, WASHINGTON, DC, 20009","-77.03014,38.92378",76223146,R
810,"1317 1ST ST NW, Washington, DC, 20001",Match,Exact,"1317 1st St NW, WASHINGTON, DC, 20001","-77.01215,38.907497",76226508,R
819,"1318 33RD ST NW, Washington, DC, 20007",Match,Exact,"1318 33rd St NW, WASHINGTON, DC, 20007","-77.066086,38.907017",76224876,L
826,"1319 SHEPHERD ST NE, Washington, DC, 20017",Match,Exact,"1319 Shepherd St NE, WASHINGTON, DC, 20017","-76.987656,38.939644",76228361,R
833,"1320 EMERSON ST NW, Washington, DC, 20011",Match,Exact,"1320 Emerson St NW, WASHINGTON, DC, 20011","-77.03053,38.949726",76222427,L
840,"1320 W ST NE, Washington, DC, 20018",Match,Exact,"1320 W St NE, WASHINGTON, DC, 20018","-76.98585,38.919186",76228983,L
847,"1321 WHITTIER PL NW, Washington, DC, 20012",Match,Exact,"1321 Whittier Pl NW, WASHINGTON, DC, 20012","-77.03009,38.97186",76221618,R
858,"1323 MONROE ST NE, Washington, DC, 20017",Match,Exact,"1323 Monroe St NE, WASHINGTON, DC, 20017","-76.9881,38.93267",76228740,R
865,"1325 11TH ST NW, Washington, DC, 20001",Match,Exact,"1325 11th St NW, WASHINGTON, DC, 20001","-77.027016,38.9076",76226087,R
875,"1326 HAMLIN ST NE, Washington, DC, 20017",Match,Exact,"1326 Hamlin St NE, WASHINGTON, DC, 20017","-76.98762,38.92777",76228774,L
886,"1328 G ST NE, Washington, DC, 20002",Match,Exact,"1328 G St NE, WASHINGTON, DC, 20002","-76.987274,38.89894",76240340,L
893,"1328 STAPLES ST NE, Washington, DC, 20002",Match,Exact,"1328 Staples St NE, WASHINGTON, DC, 20002","-76.98449,38.90303",76230224,L
901,"1330 FARRAGUT ST NW, Washington, DC, 20011",Match,Exact,"1330 Farragut St NW, WASHINGTON, DC, 20011","-77.030914,38.950787",76222341,L
909,"1332 MONTAGUE ST NW, Washington, DC, 20011",Match,Exact,"1332 Montague St NW, WASHINGTON, DC, 20011","-77.03215,38.95927",76222311,L
916,"1333 LAWRENCE ST NE, Washington, DC, 20017",Match,Exact,"1333 Lawrence St NE, WASHINGTON, DC, 20017","-76.98781,38.931698",76228742,R
925,"1335 MARYLAND AVE NE, Washington, DC, 20002",Match,Exact,"1335 Maryland Ave NE, WASHINGTON, DC, 20002","-76.98717,38.89859",76240337,R
933,"1336 PARKWOOD PL NW, Washington, DC, 20010",Match,Exact,"1336 Parkwood Pl NW, WASHINGTON, DC, 20010","-77.03158,38.935284",76222956,L
941,"1338 GERANIUM ST NW, Washington, DC, 20012",Match,Exact,"1338 Geranium St NW, WASHINGTON, DC, 20012","-77.03201,38.979378",76221539,L
948,"1339 A ST NE, Washington, DC, 20002",Match,Exact,"1339 A St NE, WASHINGTON, DC, 20002","-76.98668,38.89092",76230386,R
957,"1340 RANDOLPH ST NW, Washington, DC, 20011",Match,Exact,"1340 Randolph St NW, WASHINGTON, DC, 20011","-77.03097,38.938663",76222493,L
968,"134136 U ST NE, Washington, DC, 20002",No_Match,,,,,
975,"1344 4TH ST SW, Washington, DC, 20024",Match,Exact,"1344 4th St SW, WASHINGTON, DC, 20024","-77.01754,38.873875",76227011,L
984,"1345 G ST SE, Washington, DC, 20003",Match,Exact,"1345 G St SE, WASHINGTON, DC, 20003","-76.98649,38.88125",76230871,R
991,"1346 DOWNING ST NE, Washington, DC, 20018",Match,Exact,"1346 Downing St NE, WASHINGTON, DC, 20018","-76.98562,38.92085",76228937,L
998,"1347 30TH ST NW, Washington, DC, 20007",Match,Exact,"1347 30th St NW, WASHINGTON, DC, 20007","-77.05919,38.90793",76224978,R
1008,"13481350 LAWRENCE ST NE, Washington, DC, 20017",No_Match,,,"38.9316298,-76.9917533",,
1015,"135 11TH ST SE, Washington, DC, 20003",Match,Exact,"135 11th St SE, WASHINGTON, DC, 20003","-76.99155,38.888416",632589620,R
1024,"1350 S ST NW, Washington, DC, 20009",Match,Exact,"1350 S St NW, WASHINGTON, DC, 20009","-77.03081,38.914078",76223211,L
1031,"1351 KENNEDY ST NW, Washington, DC, 20011",Match,Exact,"1351 Kennedy St NW, WASHINGTON, DC, 20011","-77.0316,38.95623",76239195,R
1038,"1352 SPRING RD NW, Washington, DC, 20010",Match,Exact,"1352 Spring Rd NW, WASHINGTON, DC, 20010","-77.031395,38.93672",76222951,L
1049,"1354 LEVIS ST NE, Washington, DC, 20002",Match,Exact,"1354 Levis St NE, WASHINGTON, DC, 20002","-76.98344,38.904453",76230227,L
1058,"1357 C ST NE, Washington, DC, 20002",Match,Exact,"1357 C St NE, WASHINGTON, DC, 20002","-76.98617,38.893562",76230351,R
1065,"136 ADAMS ST NW, Washington, DC, 20001",Match,Exact,"136 Adams St NW, WASHINGTON, DC, 20001","-77.01361,38.92022",76224567,L
1073,"1360 HAMILTON ST NW, Washington, DC, 20011",Match,Exact,"1360 Hamilton St NW, WASHINGTON, DC, 20011","-77.03194,38.952896",76222334,L
1080,"1363 INDEPENDENCE CT SE, Washington, DC, 20003",Match,Exact,"1363 Independence Ct SE, WASHINGTON, DC, 20003","-76.9861,38.88713",624065526,L
1087,"1367 SOMERSET PL NW, Washington, DC, 20011",Match,Exact,"1367 Somerset Pl NW, WASHINGTON, DC, 20011","-77.032135,38.966866",76221633,R
1096,"137 T ST NW, Washington, DC, 20001",Match,Exact,"137 T St NW, WASHINGTON, DC, 20001","-77.0133,38.915596",76237767,R
1105,"1377 INDEPENDENCE AVE SE, Washington, DC, 20003",Match,Exact,"1377 Independence Ave SE, WASHINGTON, DC, 20003","-76.98587,38.887577",624065517,R
