"","ShorterSales$Address","city","state","zip"
"205","1735 SEATON ST NW","Washington","DC",20009
"206","1743 L ST NE","Washington","DC",20002
"207","1745 D ST SE","Washington","DC",20003
"208","1749 SWANN ST NW","Washington","DC",20009
"209","175 V ST NE","Washington","DC",20002
"210","1754 LYMAN PL NE","Washington","DC",20002
"211","1760 LANG PL NE","Washington","DC",20002
"212","178 DARRINGTON ST SW","Washington","DC",20032
"213","1783 LYMAN PL NE","Washington","DC",20002
"214","18 O ST NW","Washington","DC",20001
"215","1803 4TH ST NW","Washington","DC",20001
"216","1806 POTOMAC AVE SE","Washington","DC",20003
"217","1810 D ST SE","Washington","DC",20003
"218","1812 L ST NE","Washington","DC",20002
"219","1813 MONROE ST NE","Washington","DC",20018
"220","1814 CORCORAN ST NE","Washington","DC",20002
"221","1815 HAMLIN ST NE","Washington","DC",20018
"222","1815 OTIS ST NE","Washington","DC",20018
"223","1818 MINNESOTA AVE SE","Washington","DC",20020
"224","1820 KALORAMA SQ NW","Washington","DC",20008
"225","1821 L ST NE","Washington","DC",20002
"226","1834 LAMONT ST NW","Washington","DC",20010
"227","1835 L ST NE","Washington","DC",20002
"228","1839 ONTARIO PL NW","Washington","DC",20009
"229","1842 L ST NE","Washington","DC",20002
"230","1848 8TH ST NW","Washington","DC",20001
"231","1851 NEWTON ST NW","Washington","DC",20010
"232","1855 UPSHUR ST NW","Washington","DC",20011
"233","1881 INGLESIDE TER NW","Washington","DC",20010
"234","1900 T PL SE","Washington","DC",20020
"235","1908 2ND ST NE","Washington","DC",20002
"236","1908 ROSEDALE ST NE","Washington","DC",20002
"237","1910 2ND ST NE","Washington","DC",20002
"238","1911 17TH ST NW","Washington","DC",20009
"239","1916 ROSEDALE ST NE","Washington","DC",20002
"240","1920 KEARNY ST NE","Washington","DC",20018
"241","1921 BENNETT PL NE","Washington","DC",20002
"242","1924 1ST ST NW","Washington","DC",20001
"243","1928 BENNETT PL NE","Washington","DC",20002
"244","1928 E ST NE","Washington","DC",20002
"245","1932 2ND ST NE","Washington","DC",20002
"246","1936 4TH ST NE","Washington","DC",20002
"247","20 O ST NW","Washington","DC",20001
"248","2003 KEARNY ST NE","Washington","DC",20018
"249","2013 KEARNY ST NE","Washington","DC",20018
"250","2027 3RD ST NE","Washington","DC",20002
"251","203 63RD ST NE","Washington","DC",20019
"252","2035 GALES ST NE","Washington","DC",20002
"253","204 BATES ST NW","Washington","DC",20001
"254","208 5TH ST SE","Washington","DC",20003
"255","208 N ST NW","Washington","DC",20001
"256","210 ONEIDA ST NE","Washington","DC",20011
"257","2100 2ND ST NW","Washington","DC",20001
"258","2115 3RD ST NE","Washington","DC",20002
"259","2115 BRANCH AVE SE","Washington","DC",20020
"260","212 OKLAHOMA AVE NE","Washington","DC",20002
"261","2130 2ND ST NW","Washington","DC",20001
"262","2130 BANCROFT PL NW","Washington","DC",20008
"263","217 FARRAGUT ST NW","Washington","DC",20011
"264","218 F ST NE","Washington","DC",20002
"265","219 14TH ST SE","Washington","DC",20003
"266","219 R ST NW","Washington","DC",20001
"267","22 NICHOLSON ST NW","Washington","DC",20011
"268","220 35TH ST NE","Washington","DC",20019
"269","220 RANDOLPH PL NE","Washington","DC",20002
"270","220 RANDOLPH PL NE","Washington","DC",20002
"271","2201 TAYLOR ST NE","Washington","DC",20018
"272","2204 DOUGLAS ST NE","Washington","DC",20018
"273","2206 DECATUR PL NW","Washington","DC",20008
"274","221 R ST NW","Washington","DC",20001
"275","2213 16TH ST NE","Washington","DC",20018
"276","2226 13TH ST NE","Washington","DC",20018
"277","2232 QUINCY ST NE","Washington","DC",20018
"278","2242 15TH ST NE","Washington","DC",20018
"279","2243 OTIS ST NE","Washington","DC",20018
"280","2245 13TH ST NE","Washington","DC",20018
"281","2245 14TH ST SE","Washington","DC",20020
"282","225 18TH ST SE","Washington","DC",20003
"283","2254 SUDBURY RD NW","Washington","DC",20012
"284","226 15TH ST NE","Washington","DC",20002
"285","226 S ST NE","Washington","DC",20002
"286","226 SEATON PL NE","Washington","DC",20002
"287","229 12TH ST SE","Washington","DC",20003
"288","2328 MASSACHUSETTS AVE NW","Washington","DC",20008
"289","233 TENNESSEE AVE NE","Washington","DC",20002
"290","2332 19TH ST NW","Washington","DC",20009
"291","234 F ST NE","Washington","DC",20002
"292","2346 Q ST SE","Washington","DC",20020
"293","236 WARREN ST NE","Washington","DC",20002
"294","238 MADISON ST NW","Washington","DC",20011
"295","239 16TH ST SE","Washington","DC",20003
"296","24 GALLATIN ST NW","Washington","DC",20011
"297","2405 TRACY PL NW","Washington","DC",20008
"298","2407 3RD ST NE","Washington","DC",20002
"299","2408 EVARTS ST NE","Washington","DC",20018
"300","2416 3RD ST NE","Washington","DC",20002
"301","2419 MINNESOTA AVE SE","Washington","DC",20020
"302","2420 4TH ST NE","Washington","DC",20002
"303","2425 PERRY ST NE","Washington","DC",20018
"304","2428 4TH ST NE","Washington","DC",20002
"305","2429 SKYLAND PL SE","Washington","DC",20020
"306","243 55TH ST NE","Washington","DC",20019
"307","243 QUACKENBOS ST NE","Washington","DC",20011
"308","2436 2ND ST NE","Washington","DC",20002
"309","25 17TH ST SE","Washington","DC",20003
"310","25 Q ST NW","Washington","DC",20001
"311","25 TODD PL NE","Washington","DC",20002
"312","2501 HAMLIN ST NE","Washington","DC",20018
"313","2510 FOXHALL RD NW","Washington","DC",20007
"314","2512 E ST NE","Washington","DC",20002
"315","2520 12TH ST NW","Washington","DC",20009
"316","2531 11TH ST NW","Washington","DC",20001
"317","2601 RITTENHOUSE ST NW","Washington","DC",20015
"318","2605 31ST ST NW","Washington","DC",20008
"319","2615 SHERMAN AVE NW","Washington","DC",20001
"320","2630 BRENTWOOD RD NE","Washington","DC",20018
"321","2641 MYRTLE AVE NE","Washington","DC",20018
"322","2703 NORTH CAPITOL ST NE","Washington","DC",20002
"323","2706 12TH ST NE","Washington","DC",20018
"324","2706 BRENTWOOD RD NE","Washington","DC",20018
"325","2707 18TH ST NE","Washington","DC",20018
"326","2708 O ST NW","Washington","DC",20007
"327","2708 WOODLEY PL NW","Washington","DC",20008
"328","2718 HAMLIN ST NE","Washington","DC",20018
"329","2803 FRANKLIN ST NE","Washington","DC",20018
"330","2805 MYRTLE AVE NE","Washington","DC",20018
"331","2810 NEWTON ST NE","Washington","DC",20018
"332","2814 13TH ST NW","Washington","DC",20009
"333","2819 38TH ST NW","Washington","DC",20007
"334","2837 MYRTLE AVE NE","Washington","DC",20018
"335","2841 MYRTLE AVE NE","Washington","DC",20018
"336","2849 MCGILL TER NW","Washington","DC",20008
"337","29 17TH ST SE","Washington","DC",20003
"338","2913 26TH ST NE","Washington","DC",20018
"339","2914 10TH ST NE","Washington","DC",20017
"340","2914 7TH ST SE","Washington","DC",20032
"341","2916 S ST SE","Washington","DC",20020
"342","2931 SOUTH DAKOTA AVE NE","Washington","DC",20018
"343","2952 MILLS AVE NE","Washington","DC",20018
"344","30 53RD ST SE","Washington","DC",20019
"345","30 9TH ST SE","Washington","DC",20003
"346","300 DIVISION AVE NE","Washington","DC",20019
"347","3000 20TH ST NE","Washington","DC",20018
"348","3002 FRANKLIN ST NE","Washington","DC",20018
"349","3008 12TH ST NE","Washington","DC",20017
"350","3011 DUMBARTON ST NW","Washington","DC",20007
"351","3017 26TH ST NE","Washington","DC",20018
"352","3022 VISTA ST NE","Washington","DC",20018
"353","3024 CAMBRIDGE PL NW","Washington","DC",20007
"354","3025 YOST PL NE","Washington","DC",20018
"355","303 ADAMS ST NE","Washington","DC",20002
"356","303 KENTUCKY AVE SE","Washington","DC",20003
"357","3037 VISTA ST NE","Washington","DC",20018
"358","304 12TH ST NE","Washington","DC",20002
"359","3040 CLINTON ST NE","Washington","DC",20018
"360","3043 P ST NW","Washington","DC",20007
"361","3048 VISTA ST NE","Washington","DC",20018
"362","3049 CLINTON ST NE","Washington","DC",20018
"363","305 E ST NE","Washington","DC",20002
"364","3053 Q ST NW","Washington","DC",20007
"365","309 SEATON PL NE","Washington","DC",20002
"366","31 T ST NW","Washington","DC",20001
"367","310 16TH ST NE","Washington","DC",20002
"368","3102 P ST NW","Washington","DC",20007
"369","3103 OLIVER ST NW","Washington","DC",20015
"370","3106 N ST NW","Washington","DC",20007
"371","3108 16TH ST NW","Washington","DC",20010
"372","3109 17TH ST NE","Washington","DC",20018
"373","311 16TH ST SE","Washington","DC",20003
"374","3117 E ST SE","Washington","DC",20019
"375","312 BRYANT ST NE","Washington","DC",20002
"376","3121 18TH ST NE","Washington","DC",20018
"377","3126 PENNSYLVANIA AVE SE","Washington","DC",20020
"378","3127 DUMBARTON ST NW","Washington","DC",20007
"379","3136 17TH ST NW","Washington","DC",20010
"380","3141 O ST NW","Washington","DC",20007
"381","316 KENTUCKY AVE SE","Washington","DC",20003
"382","317 MADISON ST NW","Washington","DC",20011
"383","317 TODD PL NE","Washington","DC",20002
"384","318 16TH ST SE","Washington","DC",20003
"385","320 MISSOURI AVE NW","Washington","DC",20011
"386","3200 GAINESVILLE ST SE","Washington","DC",20020
"387","3200 HIGHLAND PL NW","Washington","DC",20008
"388","3206 PARK PL NW","Washington","DC",20010
"389","321 U ST NE","Washington","DC",20002
"390","3211 5TH ST SE","Washington","DC",20032
"391","3212 STEPHENSON PL NW","Washington","DC",20015
"392","3217 WARDER ST NW","Washington","DC",20010
"393","3219 CHESTNUT ST NE","Washington","DC",20018
"394","3229 FORT LINCOLN DR NE","Washington","DC",20018
"395","323 ELM ST NW","Washington","DC",20001
"396","3234 WARDER ST NW","Washington","DC",20010
"397","324 16TH ST SE","Washington","DC",20003
"398","3247 P ST NW","Washington","DC",20007
"399","326 TENNESSEE AVE NE","Washington","DC",20002
"400","328 12TH ST SE","Washington","DC",20003
"401","328 SHEPHERD ST NW","Washington","DC",20011
"402","33 LONGFELLOW ST NW","Washington","DC",20011
"403","33 S ST NW","Washington","DC",20001
"404","33 W ST NW","Washington","DC",20001
"405","330 36TH ST NE","Washington","DC",20019
"406","3306 PORTER ST NW","Washington","DC",20008
"407","3308 MCKINLEY ST NW","Washington","DC",20015
"408","331 18TH PL NE","Washington","DC",20002
"409","3310 N ST NW","Washington","DC",20007
"410","3310 P ST NW","Washington","DC",20007
"411","3312 NEWARK ST NW","Washington","DC",20008
"412","3315 12TH ST SE","Washington","DC",20032
"413","3318 BLAINE ST NE","Washington","DC",20019
"414","3325 PROSPECT ST NW","Washington","DC",20007
"415","339 18TH ST NE","Washington","DC",20002
"416","3400 MCKINLEY ST NW","Washington","DC",20015
"417","3404 22ND ST NE","Washington","DC",20018
"418","3417 MOUNT PLEASANT ST NW","Washington","DC",20010
"419","3463 23RD ST SE","Washington","DC",20020
"420","3465 23RD ST SE","Washington","DC",20020
"421","347 KENTUCKY AVE SE","Washington","DC",20003
"422","35 SEATON PL NW","Washington","DC",20001
"423","3509 17TH ST NE","Washington","DC",20018
"424","3511 ALBEMARLE ST NW","Washington","DC",20008
"425","3525 NEW HAMPSHIRE AVE NW","Washington","DC",20010
"426","3530 WHITEHAVEN PKWY NW","Washington","DC",20007
"427","3535 HERTFORD PL NW","Washington","DC",20010
