ID,Address,Match,MatchDetail,AddMatch,LongLat,N,LR
3680,"4709 BLAGDEN AVE NW, Washington, DC, 20011",Match,Exact,"4709 Blagden Ave NW, WASHINGTON, DC, 20011","-77.03997,38.9476",76222357,R
2740,"3220 13TH ST NW, Washington, DC, 20010",Match,Exact,"3220 13th St NW, WASHINGTON, DC, 20010","-77.029724,38.930294",76224090,L
2745,"3221 13TH ST NW, Washington, DC, 20010",Match,Exact,"3221 13th St NW, WASHINGTON, DC, 20010","-77.02969,38.9299",76224090,R
1625,"1814 19TH ST NW, Washington, DC, 20009",Match,Exact,"1814 19th St NW, WASHINGTON, DC, 20009","-77.04344,38.914646",76222803,L
4925,"913 C ST SE, Washington, DC, 20003",Match,Exact,"913 C St SE, WASHINGTON, DC, 20003","-76.99358,38.88602",76230691,R
3675,"4705 16TH ST NW, Washington, DC, 20011",Match,Exact,"4705 16th St NW, WASHINGTON, DC, 20011","-77.03641,38.94733",76222367,R
3880,"511 INGRAHAM ST NE, Washington, DC, 20011",Match,Exact,"511 Ingraham St NE, WASHINGTON, DC, 20011","-76.9986,38.95435",76228087,R
3010,"3606 14TH ST NE, Washington, DC, 20017",Match,Exact,"3606 14th St NE, WASHINGTON, DC, 20017","-76.98647,38.933865",76228737,L
4920,"911 L ST NE, Washington, DC, 20002",Match,Exact,"911 L St NE, WASHINGTON, DC, 20002","-76.99373,38.903713",76229785,R
1620,"1812 24TH ST NW, Washington, DC, 20008",Match,Exact,"1812 24th St NW, WASHINGTON, DC, 20008","-77.05262,38.914436",76222653,L
2150,"234 14TH ST NE, Washington, DC, 20002",Match,Exact,"234 14th St NE, WASHINGTON, DC, 20002","-76.98553,38.89258",76230352,L
3200,"4010 12TH ST NE, Washington, DC, 20017",Match,Exact,"4010 12th St NE, WASHINGTON, DC, 20017","-76.99025,38.93886",76228325,L
2155,"235 16TH ST SE, Washington, DC, 20003",Match,Exact,"235 16th St SE, WASHINGTON, DC, 20003","-76.98223,38.88639",76230935,R
4030,"5310 1ST ST NW, Washington, DC, 20011",Match,Exact,"5310 1st St NW, WASHINGTON, DC, 20011","-77.0116,38.9547",76223788,L
1895,"2103 R ST NW, Washington, DC, 20008",Match,Exact,"2103 R St NW, WASHINGTON, DC, 20008","-77.04678,38.912624",76222771,R
4290,"622 3RD ST NE, Washington, DC, 20002",Match,Exact,"622 3rd St NE, WASHINGTON, DC, 20002","-77.00206,38.89773",76229810,L
3205,"4012 21ST ST NE, Washington, DC, 20018",Match,Exact,"4012 21st St NE, WASHINGTON, DC, 20018","-76.97522,38.938522",76229092,L
4035,"5316 1ST ST NW, Washington, DC, 20011",Match,Exact,"5316 1st St NW, WASHINGTON, DC, 20011","-77.0116,38.954758",76223788,L
2750,"3226 WARDER ST NW, Washington, DC, 20010",Match,Exact,"3226 Warder St NW, WASHINGTON, DC, 20010","-77.01992,38.930576",76224211,L
3885,"5115 SOUTH DAKOTA AVE NE, Washington, DC, 20017",Match,Exact,"5115 South Dakota Ave NE, WASHINGTON, DC, 20017","-76.99487,38.95116",76228097,R
3690,"4720 7TH ST NE, Washington, DC, 20018",Match,Non_Exact,"4720 7th St NE, WASHINGTON, DC, 20017","-76.99707,38.947334",76228155,L
4295,"6221 KANSAS AVE NE, Washington, DC, 20011",Match,Exact,"6221 Kansas Ave NE, WASHINGTON, DC, 20011","-77.008156,38.965763",76222122,R
2755,"323 17TH ST NE, Washington, DC, 20002",Match,Exact,"323 17th St NE, WASHINGTON, DC, 20002","-76.98074,38.893673",76230469,R
3695,"4738 FOXHALL CRES NW, Washington, DC, 20007",No_Match,,,,,
3685,"4713 COLORADO AVE NW, Washington, DC, 20011",Match,Exact,"4713 Colorado Ave NW, WASHINGTON, DC, 20011","-77.041245,38.9484",76222346,R
1615,"181 UHLAND TER NE, Washington, DC, 20002",Match,Exact,"181 Uhland Ter NE, WASHINGTON, DC, 20002","-77.00385,38.91754",76228605,R
3000,"3579 13TH ST NW, Washington, DC, 20010",Match,Exact,"3579 13th St NW, WASHINGTON, DC, 20010","-77.02971,38.934055",76224039,R
3890,"512 G ST NE, Washington, DC, 20002",Match,Exact,"512 G St NE, WASHINGTON, DC, 20002","-76.99934,38.898926",76229837,L
2760,"323 SOUTH CAROLINA AVE SE, Washington, DC, 20003",Match,Exact,"323 South Carolina Ave SE, WASHINGTON, DC, 20003","-77.00166,38.88239",76230590,R
3400,"4235 BLAGDEN AVE NW, Washington, DC, 20011",Match,Exact,"4235 Blagden Ave NW, WASHINGTON, DC, 20011","-77.045296,38.94296",76222207,R
4930,"915 KENNEDY ST NW, Washington, DC, 20011",Match,Exact,"915 Kennedy St NW, WASHINGTON, DC, 20011","-77.0264,38.956272",76223276,R
2160,"236 12TH PL NE, Washington, DC, 20002",Match,Exact,"236 12th Pl NE, WASHINGTON, DC, 20002","-76.98928,38.89261",76230308,L
2165,"237 14TH ST SE, Washington, DC, 20003",Match,Exact,"237 14th St SE, WASHINGTON, DC, 20003","-76.98553,38.886208",76236010,R
4935,"917 12TH ST SE, Washington, DC, 20003",Match,Exact,"917 12th St SE, WASHINGTON, DC, 20003","-76.990265,38.879105",76230892,R
1610,"1808 KILBOURNE PL NW, Washington, DC, 20010",Match,Exact,"1808 Kilbourne Pl NW, WASHINGTON, DC, 20010","-77.041565,38.93056",76222586,L
3210,"4017 22ND ST NE, Washington, DC, 20018",Match,Exact,"4017 22nd St NE, WASHINGTON, DC, 20018","-76.97416,38.93912",76229098,R
3405,"426 13TH ST NE, Washington, DC, 20002",Match,Exact,"426 13th St NE, WASHINGTON, DC, 20002","-76.98833,38.89556",76230331,L
4025,"5304 KANSAS AVE NW, Washington, DC, 20011",Match,Exact,"5304 Kansas Ave NW, WASHINGTON, DC, 20011","-77.0166,38.95448",76223761,L
3420,"43 U ST NW, Washington, DC, 20001",Match,Exact,"43 U St NW, WASHINGTON, DC, 20001","-77.010506,38.91701",632575765,R
4020,"530 REGENT PL NE, Washington, DC, 20017",No_Match,,,,,
3215,"402 NEW JERSEY AVE SE, Washington, DC, 20003",Match,Exact,"402 New Jersey Ave SE, WASHINGTON, DC, 20003","-77.0072,38.884964",76227140,L
2765,"3235 FORT LINCOLN DR NE, Washington, DC, 20018",Match,Exact,"3235 Fort Lincoln Dr NE, WASHINGTON, DC, 20018","-76.95691,38.92236",624367300,L
3025,"3611 VAN NESS ST NW, Washington, DC, 20008",Match,Exact,"3611 Van Ness St NW, WASHINGTON, DC, 20008","-77.069756,38.943176",76220558,R
3895,"5128 LINNEAN TER NW, Washington, DC, 20008",Match,Exact,"5128 Linnean Ter NW, WASHINGTON, DC, 20008","-77.06768,38.956432",76220628,L
2770,"324 VARNUM ST NW, Washington, DC, 20011",Match,Exact,"324 Varnum St NW, WASHINGTON, DC, 20011","-77.01592,38.943207",76223680,L
3035,"3616 VEAZEY ST NW, Washington, DC, 20008",Match,Exact,"3616 Veazey St NW, WASHINGTON, DC, 20008","-77.0703,38.943954",76220556,L
3030,"3614 11TH ST NW, Washington, DC, 20010",Match,Exact,"3614 11th St NW, WASHINGTON, DC, 20010","-77.02851,38.93482",76224032,L
4945,"919 FRENCH ST NW, Washington, DC, 20001",Match,Exact,"919 French St NW, WASHINGTON, DC, 20001","-77.02441,38.913364",76224354,R
2175,"24 R ST NW, Washington, DC, 20001",Match,Exact,"24 R St NW, WASHINGTON, DC, 20001","-77.00985,38.91259",76224696,L
3220,"4022 CHANCERY CT NW, Washington, DC, 20007",Match,Exact,"4022 Chancery Ct NW, WASHINGTON, DC, 20007","-77.07744,38.914753",76235972,R
