ID,Address,Match,MatchDetail,AddMatch,LongLat,N,LR
601,"1245 E ST NE, Washington, DC, 20002",Match,Exact,"1245 E St NE, WASHINGTON, DC, 20002","-76.989365,38.896103",76230330,R
610,"1247 GIRARD ST NE, Washington, DC, 20017",Match,Exact,"1247 Girard St NE, WASHINGTON, DC, 20017","-76.989426,38.92658",76228770,R
617,"1249 WYLIE ST NE, Washington, DC, 20002",Match,Exact,"1249 Wylie St NE, WASHINGTON, DC, 20002","-76.989296,38.900745",76230161,R
626,"1251 F ST NE, Washington, DC, 20002",Match,Exact,"1251 F St NE, WASHINGTON, DC, 20002","-76.989265,38.897316",76230315,R
634,"1257 16TH ST NE, Washington, DC, 20002",Match,Exact,"1257 16th St NE, WASHINGTON, DC, 20002","-76.98016,38.906677",76230210,R
641,"1259 U ST SE, Washington, DC, 20020",Match,Exact,"1259 U St SE, WASHINGTON, DC, 20020","-76.98771,38.866314",76231076,R
650,"1261 OWEN PL NE, Washington, DC, 20002",Match,Exact,"1261 Owen Pl NE, WASHINGTON, DC, 20002","-76.986244,38.905293",76230112,R
659,"1269 MORSE ST NE, Washington, DC, 20002",Match,Exact,"1269 Morse St NE, WASHINGTON, DC, 20002","-76.98769,38.90283",76230135,R
669,"1273 OWEN PL NE, Washington, DC, 20002",Match,Exact,"1273 Owen Pl NE, WASHINGTON, DC, 20002","-76.98594,38.905163",76230112,R
681,"129 18TH ST SE, Washington, DC, 20003",Match,Exact,"129 18th St SE, WASHINGTON, DC, 20003","-76.97901,38.88834",76230529,R
688,"13 MADISON ST NW, Washington, DC, 20011",Match,Exact,"13 Madison St NW, WASHINGTON, DC, 20011","-77.00946,38.958744",76223750,R
697,"130 THOMAS ST NW, Washington, DC, 20001",Match,Exact,"130 Thomas St NW, WASHINGTON, DC, 20001","-77.01289,38.916267",76224641,L
704,"1301 IRVING ST NE, Washington, DC, 20017",Match,Exact,"1301 Irving St NE, WASHINGTON, DC, 20017","-76.98825,38.928696",76228768,R
713,"1302 FAIRMONT ST NW, Washington, DC, 20009",Match,Exact,"1302 Fairmont St NW, WASHINGTON, DC, 20009","-77.029884,38.924744",76223142,L
721,"1304 FRANKLIN ST NE, Washington, DC, 20017",Match,Exact,"1304 Franklin St NE, WASHINGTON, DC, 20017","-76.987915,38.925606",76228779,L
731,"1305 FLORAL ST NW, Washington, DC, 20012",Match,Exact,"1305 Floral St NW, WASHINGTON, DC, 20012","-77.030396,38.978703",76221559,R
738,"1306 W ST NW, Washington, DC, 20009",Match,Exact,"1306 W St NW, WASHINGTON, DC, 20009","-77.02986,38.919167",76223161,L
